title,link,type
Filtering Columns and Rows in Pandas | Python Pandas Tutorials,https://www.youtube.com/watch?v=kB7FV-ijdqE,regular
Reading in Files in Pandas | Python Pandas Tutorials,https://www.youtube.com/watch?v=dUpyC40cF6Q,regular
Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,https://www.youtube.com/watch?v=gs0FNQR0njI,regular
ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,https://www.youtube.com/watch?v=C75TROiiEa0,regular
FREE Data Analyst Bootcamp!!,https://www.youtube.com/watch?v=rGx1QNdYzvs,regular
How to Become a Data Analyst in 2023 (Completely FREE!),https://www.youtube.com/watch?v=CUBfrdDwznQ,regular
DIY Data Analyst Curriculum using Udemy (Under $75),https://www.youtube.com/watch?v=S76iS03nGis,regular
Reviewing Maven Analytics Free Portfolio Website,https://www.youtube.com/watch?v=RBEgsEVO3T8,regular
DIY Data Analyst Curriculum using Coursera in 2023,https://www.youtube.com/watch?v=DXwFsxCtukg,regular
Building a BMI Calculator with Python | Python Projects for Beginners,https://www.youtube.com/watch?v=ey1VNjU0YbM,regular
"Reading, Writing, and Appending Files in Python | Python for Beginners",https://www.youtube.com/watch?v=0MKcCHrTo0c,regular
Why I Quit my 125k Analytics Job,https://www.youtube.com/watch?v=bVJfQAe-UP4,regular
Converting Data Types in Python | Python for Beginners,https://www.youtube.com/watch?v=B63bN2cLVLM,regular
Functions in Python | Python for Beginners,https://www.youtube.com/watch?v=zvzjaqMBEso,regular
While Loops in Python | Python for Beginners,https://www.youtube.com/watch?v=ECduJk00mUU,regular
For Loops in Python | Python for Beginners,https://www.youtube.com/watch?v=zmIdC0_0BgY,regular
If Else Statements in Python | Python for Beginners,https://www.youtube.com/watch?v=-BOBedcjySI,regular
"Comparison, Logical, and Membership Operators in Python | Python for Beginners",https://www.youtube.com/watch?v=lPVke-p4S7s,regular
Data Types in Python | Python for Beginners,https://www.youtube.com/watch?v=ppsCxnNm-JI,regular
Variables in Python | Python for Beginners,https://www.youtube.com/watch?v=pHOH7UfOhbE,regular
Installing Jupyter Notebooks/Anaconda | Python for Beginners,https://www.youtube.com/watch?v=WUeBzT43JyY,regular
Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,https://www.youtube.com/watch?v=DVs9u15htXU,regular
Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,https://www.youtube.com/watch?v=zW3qJUeJLWc,regular
When Best Friends Work Together (ft. Luke Barousse),https://www.youtube.com/watch?v=m1AkWK_ODLM,regular
Full Power BI Guided Project | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=pixlHHe_lNQ,regular
Popular Visualizations in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=3NV5Jtbhfcw,regular
"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",https://www.youtube.com/watch?v=1cfrQLoJMPI,regular
How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=9j_EBt3RNrs,regular
How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=m0h3Ghl6mgY,regular
Interviewing Ken Jee | The Face of Data Science on YouTube,https://www.youtube.com/watch?v=tRCGGlMI19M,regular
CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,https://www.youtube.com/watch?v=0QZBnhofU_U,regular
How to use Drill Down in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=ulFY20KTzFQ,regular
"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",https://www.youtube.com/watch?v=PEc29sRZoTM,regular
How to use DAX in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=vcijg0gUXSg,regular
Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,https://www.youtube.com/watch?v=gCg47n_TlFc,regular
How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=sW5LoDA1ssM,regular
Machine Learning Specialization on Coursera | Review,https://www.youtube.com/watch?v=4nsdARJGzJ0,regular
Meta Marketing Analytics Professional Certificate on Coursera | Review,https://www.youtube.com/watch?v=_QvQxm4dptI,regular
Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,https://www.youtube.com/watch?v=HX2TabgkzHo,regular
How to use Power Query in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=gP-AxNi6uxo,regular
Automating Crypto Website API Pull Using Python | Data Analyst Project,https://www.youtube.com/watch?v=KB2CtEDrglY,regular
How to use a Public API | Using a Public API with Python,https://www.youtube.com/watch?v=2HfSFdPEFRg,regular
How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=g0m5sEHPU-s,regular
MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,https://www.youtube.com/watch?v=Q7i6zxHVj2Q,regular
Top 3 Tips to Stop Procrastinating to be Successful,https://www.youtube.com/watch?v=ddn-2r1j_OU,regular
SQL vs NoSQL | What's the Difference?,https://www.youtube.com/watch?v=Pf-9pjJK1e0,regular
Database vs Data Warehouse vs Data Lake | What is the Difference?,https://www.youtube.com/watch?v=-bSkREem8dM,regular
How I Manage My Time Working 60+ Hours Per Week | Alex The Analyst Show | Episode 22,https://www.youtube.com/watch?v=xKdtP3IZbnU,regular
Things I HATE About Being a Data Analyst,https://www.youtube.com/watch?v=2JnlQ8jwWbE,regular
Best Website to Practice Technical Interview Questions,https://www.youtube.com/watch?v=hNTNZ00cZig,regular
